index,text,label
1,I am feeling unwell due to dehydration.,1
2,I need to undergo therapy sessions for recovery.,1
3,I need leave for a doctor's appointment.,1
4,I need leave to manage my diabetes treatment.,1
5,I need to visit the hospital for a check-up.,1
6,I am unwell due to an allergic reaction to medication.,1
7,I need to recover from a viral fever.,1
8,I have a stomach ache and nausea.,1
9,I have a severe cough and cold.,1
10,I have been diagnosed with appendicitis.,1
11,I have flu and can't come to work.,1
12,I have a sore throat and high fever.,1
13,I have a medical emergency and need leave.,1
14,I need time off for medical reasons.,1
15,I am experiencing body pain and weakness.,1
16,I am feeling feverish and need to rest.,1
17,I have a headache and fever.,1
18,I have been experiencing extreme fatigue.,1
19,I need to recover from a severe allergic reaction.,1
20,I need leave for a hospital follow-up.,1
21,I have been prescribed rest by my doctor.,1
22,I am feeling dizzy and weak.,1
23,I need time to recover from a sports injury.,1
24,I am unwell due to low blood sugar levels.,1
25,I am suffering from a severe migraine.,1
26,I need leave for a routine health check-up.,1
27,I caught a cold and need to rest.,1
28,I have been diagnosed with bronchitis.,1
29,I am recovering from food poisoning.,1
30,I have a medical emergency and need leave.,1
31,I am feeling dizzy and weak.,1
32,I have a respiratory infection and need to recover.,1
33,I have an eye infection and cannot come to work.,1
34,I am experiencing dizziness and need to rest.,1
35,I am feeling weak and nauseous.,1
36,I am experiencing symptoms of a viral infection.,1
37,I need time off for medical reasons.,1
38,I am feeling lethargic and unwell.,1
39,I need to visit the hospital for a check-up.,1
40,I need leave to undergo medical tests.,1
41,I have been diagnosed with the flu and need rest.,1
42,I have been advised to rest due to a throat infection.,1
43,I have flu and can't come to work.,1
44,I have a sinus infection and cannot come to work.,1
45,I have been diagnosed with pneumonia.,1
46,I am recovering from a fracture.,1
47,I need to stay home due to a viral infection.,1
48,I have been prescribed antibiotics and need rest.,1
49,I am feeling lethargic and unwell.,1
50,I have a stomach ache and nausea.,1
51,I have been prescribed rest by my doctor.,1
52,I am experiencing joint pain and need to rest.,1
53,I am unwell due to a fever and chills.,1
54,I have been advised to rest due to low blood pressure.,1
55,I am experiencing severe back pain.,1
56,I need to visit a specialist for ongoing treatment.,1
57,I am experiencing body pain and weakness.,1
58,I am suffering from a severe migraine.,1
59,I am unwell due to an allergic reaction.,1
60,I need leave for a doctor's appointment.,1
61,I am feeling unwell due to cold.,1
62,I caught a cold and need to rest.,1
63,I have a headache and fever.,1
64,I have been diagnosed with a stomach infection.,1
65,I am recovering from surgery and need time off.,1
66,I am not feeling well and need rest.,1
67,I have been diagnosed with a urinary tract infection.,1
68,I have been experiencing severe abdominal pain.,1
69,I am not feeling well and need rest.,1
70,I have been diagnosed with an ear infection.,1
71,I am recovering from a viral infection.,1
72,I have high blood pressure and need to rest.,1
73,I have been diagnosed with a stomach infection.,1
74,I need rest due to a muscle sprain.,1
75,I am having difficulty breathing and need to visit the doctor.,1
76,I have been diagnosed with chickenpox.,1
77,I have a persistent cough and sore throat.,1
78,I have been advised to rest due to low blood pressure.,1
79,I have a severe cough and cold.,1
80,I have a sore throat and high fever.,1
81,I have a respiratory infection and need to recover.,1
82,I have a severe headache and need rest.,1
83,I need time to recover from a dental procedure.,1
84,I am unwell due to food poisoning.,1
85,I need to recover from a surgery.,1
86,I need to stay home due to a viral infection.,1
87,I am feeling unwell due to cold.,1
88,I am recovering from a minor surgery.,1
89,I have been diagnosed with an infection and need leave.,1
90,I need to rest due to exhaustion.,1
91,I am recovering from food poisoning.,1
92,I need to rest due to severe stomach cramps.,1
93,I am unwell due to an allergic reaction.,1
94,I have been advised bed rest due to illness.,1
95,I have a recurring migraine that requires medical attention.,1
96,I have an eye infection and cannot come to work.,1
